abbrev_k, abbrev_v
Aa, AA
Abc, ABC
Ac, AC
Acc, ACC
Adnh, ADNH
Adt, ADT
Aic, AIC
Als, ALS
Alum, Aluminum
Amk, AMK
Apc, APC
Apl, APL
Apm, APM
Apt, APT
Asb, ASB
Asda, ASDA
Asl, ASL
Asp, ASP
Aspgulf, ASPGulf
Atc, ATC
Atmc, ATMC
Bc, BC
Bfc, BFC
Bhd, BHD
Bk, BK
Bl, BL
Bldconco, Building Construction Company
Bldg, Building
Bldgcleaning, Building Cleaning
Bldgmaintenance, Building Maintenance
Bldgmaterial, Building Material
Bldgs, Buildings
Bldn, Building
Bmc, BMC
Bmg, BMG
Bmw, BMW
Bp, BP
Br2, BR two
Brn, Bahrain
Bros, Brothers
Bsc, BSC
Bsd, BSD
Bsk, BSK
Bt, BT
Bvs, VBS
Bwv, BWV
C0, C zero
Ccc, CCC
Ccl, CCL
Cct, CCT
Cd, CD
Cgi, CGI
Cgm, CGM
Chem, Chemical
Clea, Clearing
Cli, CLI
Cma, CMA
Cmc, CMC
Cokg, and Company KG
Coll, Company LLC
Comm, Commercial
Conc, Concrete
Conslt, Consultants
Contllc, Contractors LLC
Contrav, Contractor
Corpn, Corporation
Cos, Companies
Cosgroup, Companies Group
Csc, CSC
Csi, CSI
Ctci, CTCI
Dat, DAT
Dcc, DCC
Dept, Department
Depts, Departments
Desain, Design
Dev, Development
Develop, Development
Devt, Development
Dfi, DFI
Dfs, DFS
Dgl, DGL
Dgw, DGW
Dis, Distribution
Distr, Distribution
Div, Division
Dld, DLD
Dm, DM
Dmc, Destination Management Company
Dmcco, Destination Management Company
Dmcest, Destination Management Company Establishment
Dms, Distribution Management System
Dmt, Development
Dpw, DPW
Dpworld, DP World
Dqe, DQE
Dra, DRA
Drec, DREC
Drh, DRH
Drs, Doctors
Drv, Driving
Dsa, DSA
Dsg, DSG
Dth, DTH
E4, E four
Ecu, ECU
Egyption, Egyptian
Elc, Electronics
Elctrcl, Electrical
Ele, Electrical
Elec, Electronics
Elecmachw, Electrical and Mechanical Works
Elect, Electrical
Electequipment, Electrical Equipment
Electequipt, Electrical Equipment
Electind, Electric Industrial
Electronice, Electronics
Eloct, Electrical
Em, EM
Emb, Embroidery (in Lima Tailoring Emb Workshop)
Emc, EMC
Emcc, EMCC
Engg, Engineering
Enggconstoffice, Engineering Construction Office
Engturning, Engineering Turning
Eoc, EOC
Ep, EP
Epfl, EPFL
Eqpts, Equipments
Equip, Equipment
Equipm, Equipment
Equipt, Equipment
Est, Establishment
Establ, Establishment
Estt, Establishment
Eta, ETA
Etc, ETC but only in ETC Ras Al Khour Main Number
Etd, Limited
Exch, Exchange
Exon, Exxon
Fag, FAG
Fal, FAL
Fh, FH
Fharmacy, Pharmacy
Fmc, FMC
Fs, FS
Ftv, FTV
Fwu, FWU
G2, G two
Gbl, GBL
Gfi, GFI
Gmc, GMC
Gmra, GMRA
Gov, Government
Gover, Government
Gprs, GPRS
Grocere, Grocery
Gs, GS
H2, H two
Hfc, HFC
Hhsh, His Highness Sheikh
Hlb, HLB
Hpr, HPR
Hrm, HRM
Hsbc, HSBC
Htm, HTM
